cluster_id,observation_count,active_days,first_detection,last_detection,time_span_days,start_latitude,start_longitude,end_latitude,end_longitude,total_movement_distance_km,movement_rate_km_per_day,movement_bearing_degrees,movement_direction,movement_confidence,movement_status,direction,movement_pattern,direction_confidence,direction_confidence_score,direction_available
87,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,22.31705,82.53432,22.31705,82.53432,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
88,1,1,2026-08-01T20:23:00+00:00,2026-08-01T20:23:00+00:00,0.0,10.63879,77.44735,10.63879,77.44735,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
89,1,1,2026-08-01T20:23:00+00:00,2026-08-01T20:23:00+00:00,0.0,11.28767,79.75057,11.28767,79.75057,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
90,1,1,2026-08-01T20:23:00+00:00,2026-08-01T20:23:00+00:00,0.0,11.36164,79.23067,11.36164,79.23067,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
91,1,1,2026-08-01T20:23:00+00:00,2026-08-01T20:23:00+00:00,0.0,11.42618,77.49764,11.42618,77.49764,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
92,1,1,2026-08-01T20:23:00+00:00,2026-08-01T20:23:00+00:00,0.0,11.81586,77.9163,11.81586,77.9163,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
93,1,1,2026-08-01T20:25:00+00:00,2026-08-01T20:25:00+00:00,0.0,8.66925,77.99277,8.66925,77.99277,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
94,1,1,2026-08-01T21:06:00+00:00,2026-08-01T21:06:00+00:00,0.0,26.87533,73.51517,26.87533,73.51517,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
95,2,2,2026-08-01T21:08:00+00:00,2026-08-03T21:23:00+00:00,2.01,22.9327,69.6986,22.93262,69.69827,0.035,0.017,255.25,W,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
96,1,1,2026-08-02T07:29:00+00:00,2026-08-02T07:29:00+00:00,0.0,10.61565,79.65601,10.61565,79.65601,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
